global_step,correct,similar,incorrect,train_loss,eval_loss
39,7,29,23,5.453516006469727,-0.1890190972222222
78,30,29,0,4.442187309265137,-1.7184244791666667
117,30,29,0,2.397265672683716,-5.72265625
156,30,29,0,1.5049254894256592,-6.6796875
195,30,29,0,0.32548218965530396,-6.254774305555555
234,30,29,0,0.24874266982078552,-6.212673611111111
273,30,29,0,1.1589477062225342,-6.591145833333333
312,30,29,0,0.944866955280304,-6.246527777777778
351,30,29,0,0.028310395777225494,-6.694010416666667
390,30,29,0,0.17128372192382812,-7.151909722222222
429,30,19,10,0.5052135586738586,-7.241753472222222
468,30,23,6,0.0027548791840672493,-7.1640625
507,30,11,18,0.008533286862075329,-7.070746527777778
546,30,11,18,0.001671218778938055,-7.332465277777778
585,30,13,16,0.004912376403808594,-7.475260416666667
624,31,14,14,0.19759202003479004,-7.705295138888889
663,30,12,17,0.000844764756038785,-7.953125
702,31,13,15,0.00039440393447875977,-7.492621527777778
741,31,14,14,0.06289476901292801,-7.530381944444445
780,30,18,11,0.00036402943078428507,-7.841145833333333
819,31,11,17,0.0007016658782958984,-7.794270833333333
858,31,8,20,0.00027828215388581157,-7.582465277777778
897,31,12,16,0.00020769835100509226,-7.594618055555555
936,30,20,9,0.0002093672810588032,-7.913194444444445
975,31,13,15,8.605718903709203e-05,-8.569444444444445
1014,32,5,22,0.0016931176651269197,-8.186631944444445
1053,30,10,19,0.0009158492321148515,-7.623697916666667
1092,30,14,15,0.00020245312771294266,-7.620659722222222
1131,29,9,21,0.0006503105396404862,-8.057725694444445
1170,32,6,21,0.001363563584163785,-6.475694444444445
1209,30,11,18,0.15182209014892578,-6.895833333333333
1248,32,11,16,0.0007490277057513595,-7.250434027777778
1287,30,10,19,0.00013229847536422312,-8.120659722222221
1326,30,12,17,0.0002704620419535786,-7.8828125
1365,32,5,22,5.17487533215899e-05,-8.784722222222221
1404,29,9,21,5.042552947998047e-05,-8.528645833333334
1443,29,15,15,0.942814290523529,-7.559027777777778
1482,29,10,20,0.47776639461517334,-7.447482638888889
1521,30,11,18,8.693933341419324e-05,-7.089409722222222
1560,30,11,18,8.236170106101781e-05,-7.670572916666667
1599,30,7,22,5.375147156883031e-05,-8.21267361111111
1638,30,8,21,8.121729479171336e-05,-8.924479166666666
1677,29,10,20,0.0008910060278140008,-8.899305555555555
1716,30,10,19,1.9681454432429746e-05,-8.5546875
1755,29,11,19,0.00017161370487883687,-7.696614583333333
1794,30,9,20,2.4223329091910273e-05,-8.186631944444445
1833,32,8,19,0.00022815466218162328,-7.878472222222222
1872,30,13,16,4.225969314575195e-05,-8.08420138888889
1911,30,9,20,5.6695938837947324e-05,-7.698784722222222
1950,31,9,19,0.00026444197283126414,-7.85546875
1989,30,11,18,2.4056434995145537e-05,-8.317708333333334
2028,31,5,23,0.009314251132309437,-8.559027777777779
2067,31,9,19,1.4543533325195312e-05,-9.184027777777779
2106,30,13,16,8.033514313865453e-05,-8.321180555555555
2145,30,7,22,2.001523898798041e-05,-8.25
2184,30,7,22,2.7641055583953857,-7.473958333333333
2223,30,9,20,5.4943564464338124e-05,-8.762152777777779
2262,31,6,22,1.9848346710205078e-05,-8.583333333333334
2301,30,9,20,5.352497100830078e-05,-7.880208333333333
2340,30,11,18,1.8393993741483428e-05,-8.75
2379,30,9,20,1.3315678188519087e-05,-9.176215277777779
2418,30,16,13,7.568598084617406e-05,-9.92013888888889
2457,30,9,20,0.00024039745039772242,-9.99826388888889
2496,31,11,17,3.300905154901557e-05,-8.36545138888889
2535,31,13,15,2.3102760678739287e-05,-8.04296875
2574,31,6,22,0.0006006717449054122,-7.497395833333333
2613,31,8,20,0.0005615592235699296,-6.375
2652,32,4,23,1.8298625946044922e-05,-7.812934027777778
2691,32,9,18,1.348257137578912e-05,-7.473958333333333
2730,31,8,20,9.170770499622449e-05,-6.235243055555555
2769,31,6,22,2.180337833124213e-05,-8.2734375
2808,30,13,16,1.800060272216797e-05,-8.5390625
2847,30,6,23,0.00019303560839034617,-9.360243055555555
2886,31,6,22,4.035234451293945e-05,-10.411458333333334
2925,31,8,20,1.4853478205623105e-05,-9.836805555555555
2964,31,6,22,1.728534698486328e-05,-7.894965277777778
3003,31,6,22,1.2063979738741182e-05,-7.741319444444445
3042,31,6,22,5.353689266485162e-05,-8.7578125
3081,31,7,21,1.296997106692288e-05,-8.859375
3120,31,11,17,2.4318695068359375e-05,-8.75954861111111
3159,32,9,18,8.559227353543974e-06,-8.561631944444445
3198,31,8,20,0.0003270864544901997,-5.690972222222222
3237,30,9,20,3.989935066783801e-05,-7.7421875
3276,30,11,18,2.3400782083626837e-05,-8.261284722222221
3315,31,8,20,0.00011661052849376574,-8.707465277777779
3354,32,7,20,1.245737075805664e-05,-8.99826388888889
3393,30,10,19,7.903576261014678e-06,-8.6875
3432,32,5,22,8.709430403541774e-05,-8.32595486111111
3471,31,7,21,3.63349899998866e-05,-8.118489583333334
3510,30,8,21,5.217790385358967e-05,-9.128472222222221
3549,30,15,14,0.00011168718629051,-9.449652777777779
3588,29,8,22,5.345344834495336e-05,-8.73611111111111
3627,31,8,20,4.447698302101344e-05,-8.351996527777779
3666,31,6,22,9.266138658858836e-05,-8.772569444444445
3705,31,9,19,1.424551010131836e-05,-9.089409722222221
3744,30,13,16,1.697540210443549e-05,-8.36892361111111
3783,31,7,21,1.6295909517793916e-05,-8.905381944444445
3822,30,20,9,5.507469268195564e-06,-9.394965277777779
3861,30,10,19,1.6832351320772432e-05,-8.745659722222221
3900,31,5,23,0.0001035928726196289,-8.07986111111111
3939,31,6,22,5.991458965581842e-05,-8.543402777777779
3978,30,9,20,1.5699864889029413e-05,-9.80295138888889
4017,30,10,19,0.00014920235844329,-9.06423611111111
4056,31,7,21,9.47713851928711e-06,-9.469618055555555
4095,32,6,21,0.00014219284639693797,-10.430555555555555
4134,30,5,24,2.567768024164252e-05,-9.948784722222221
4173,30,13,16,3.2985211873892695e-05,-11.080729166666666
4212,30,11,18,3.23295607813634e-05,-10.502604166666666
4251,30,9,20,2.428293191769626e-05,-10.324652777777779
4290,30,7,22,4.0471553802490234e-05,-8.093315972222221
4329,30,7,22,3.921985626220703e-05,-8.854166666666666
4368,30,5,24,6.21914878138341e-05,-7.255208333333333
4407,30,7,22,0.0002041459083557129,-7.315972222222222
4446,30,11,18,4.423856807989068e-05,-7.565538194444445
4485,30,10,19,0.464136004447937,-8.81076388888889
4524,30,7,22,8.543729927623644e-05,-8.942708333333334
4563,31,7,21,1.379251443722751e-05,-9.130208333333334
4602,30,7,22,1.1992455256404355e-05,-9.1875
4641,30,8,21,1.4555454981746152e-05,-9.45138888888889
4680,30,3,26,8.130073547363281e-05,-9.397569444444445
4719,31,10,18,1.0573863619356416e-05,-9.596354166666666
4758,30,5,24,0.000347888475516811,-9.25
4797,30,8,21,5.658865120494738e-05,-9.764756944444445
4836,30,8,21,1.2111663636460435e-05,-9.053819444444445
4875,30,7,22,7.617473329446511e-06,-9.160590277777779
4914,30,9,20,4.863739377469756e-06,-9.675347222222221
4953,30,8,21,6.0915945141459815e-06,-9.421006944444445
4992,30,6,23,1.8763541447697207e-05,-8.97482638888889
5000,30,7,22,2.4087727069854736e-05,-8.9921875
5031,30,8,21,1.3589859008789062e-05,-9.484375
5070,31,7,21,6.330013547994895e-06,-9.541666666666666
5109,31,7,21,9.810924893827178e-06,-9.582465277777779
5148,31,6,22,1.80721290234942e-05,-8.934895833333334
5187,30,7,22,2.1386145817814395e-05,-8.585069444444445
5226,31,9,19,5.5992604757193476e-05,-8.539930555555555
5265,30,7,22,2.4175644284696318e-05,-8.50173611111111
5304,31,8,20,0.0002478838141541928,-8.92361111111111
5343,29,8,22,7.271766662597656e-06,-8.95138888888889
5382,31,14,14,2.4509430659236386e-05,-8.288194444444445
5421,31,7,21,1.0025501978816465e-05,-8.89236111111111
5460,31,10,18,0.0028682469855993986,-8.824652777777779
5499,31,10,18,0.3552877604961395,-8.368055555555555
5538,31,8,20,4.3153763726877514e-06,-8.75954861111111
5577,31,8,20,1.6176700228243135e-05,-8.909722222222221
5616,31,5,23,5.2213672461220995e-06,-8.589409722222221
5655,31,10,18,6.967782974243164e-05,-10.075520833333334
5694,31,10,18,4.422664915182395e-06,-10.130208333333334
